,id,retweet_count,favorite_count
510,810284430598270976,12819,38554
511,810254108431155201,3754,15949
512,809920764300447744,4363,16831
513,809808892968534016,5497,0
514,809448704142938112,1647,7519
515,809220051211603969,6304,21668
516,809084759137812480,3933,14356
517,808838249661788160,3404,10970
518,808733504066486276,2427,8591
519,808501579447930884,2907,12263
520,808344865868283904,23255,46179
521,808134635716833280,6689,0
522,808106460588765185,2447,9470
523,808001312164028416,3955,13664
524,807621403335917568,4128,15840
525,807106840509214720,60759,122516
526,807059379405148160,8237,0
527,807010152071229440,4280,14163
528,806629075125202948,39193,81777
529,806620845233815552,6193,0
530,806576416489959424,2159,5258
531,806542213899489280,2661,11101
532,806242860592926720,13128,0
533,806219024703037440,1344,6977
534,805958939288408065,6030,0
535,805932879469572096,2131,8986
536,805826884734976000,2055,7155
537,805823200554876929,9041,0
538,805520635690676224,1854,6230
539,805487436403003392,2839,9538
540,805207613751304193,1903,8462
541,804738756058218496,4323,14939
542,804475857670639616,2260,6696
543,804413760345620481,3606,0
544,804026241225523202,18192,48523
545,803773340896923648,3109,10932
546,803692223237865472,8338,0
547,803638050916102144,4658,11960
548,803380650405482500,2082,8429
549,803321560782307329,5984,0
550,803276597545603072,2770,10911
551,802952499103731712,2251,9804
552,802624713319034886,3286,0
553,802600418706604034,1646,7748
554,802572683846291456,2818,9734
555,802323869084381190,6557,17692
556,802265048156610565,1524,6916
557,802239329049477120,2923,9868
558,802185808107208704,301,0
559,801958328846974976,1916,8405
560,801854953262350336,262,1916
561,801538201127157760,2310,8914
562,801285448605831168,933,6601
563,801167903437357056,6689,26702
564,801127390143516673,4465,0
565,801115127852503040,2345,8792
566,800859414831898624,107,751
567,800855607700029440,1829,0
568,800751577355128832,3114,11422
569,800513324630806528,3380,14304
570,800459316964663297,2412,10286
571,800443802682937345,4851,0
572,800388270626521089,3145,12127
573,800188575492947969,4426,0
574,800141422401830912,2875,16649
575,800018252395122689,14786,30918
576,799774291445383169,5265,0
577,799757965289017345,2428,9151
578,799422933579902976,2143,8757
579,799308762079035393,6223,0
580,799297110730567681,3116,10798
581,799063482566066176,2759,8806
582,798933969379225600,5035,14339
583,798925684722855936,1611,8087
584,798705661114773508,7438,0
585,798701998996647937,8779,0
586,798697898615730177,7297,0
587,798694562394996736,5574,0
588,798686750113755136,2610,0
589,798682547630837760,5314,0
590,798673117451325440,6240,0
591,798665375516884993,4364,0
592,798644042770751489,2077,0
593,798628517273620480,2208,0
594,798585098161549313,6423,0
595,798576900688019456,6618,0
596,798340744599797760,3775,0
597,798209839306514432,2862,11299
598,797971864723324932,3524,12698
599,797545162159308800,5447,15805
600,797236660651966464,7438,21786
601,797165961484890113,31,250
602,796904159865868288,10012,0
603,796865951799083009,2133,8348
604,796759840936919040,3436,12926
605,796563435802726400,8224,0
606,796484825502875648,1974,8255
607,796387464403357696,4677,12000
608,796177847564038144,16082,0
609,796149749086875649,16082,35269
610,796125600683540480,2004,5387
611,796116448414461957,2720,9898
612,796080075804475393,2595,9204
613,796031486298386433,4148,11764
614,795464331001561088,26763,54298
615,795400264262053889,3220,11010
616,795076730285391872,6090,17687
617,794983741416415232,3795,0
618,794926597468000259,2599,11201
619,794355576146903043,11554,0
620,794332329137291264,2970,10415
621,794205286408003585,3724,10029
622,793962221541933056,5497,18354
623,793845145112371200,2105,10031
624,793614319594401792,3517,0
625,793601777308463104,1838,8688
626,793500921481273345,2677,11656
627,793286476301799424,10333,26841
628,793271401113350145,2650,9408
629,793256262322548741,9351,21770
630,793241302385262592,3691,11479
631,793226087023144960,3211,10712
632,793210959003287553,3160,9733
633,793195938047070209,6310,16632
634,793180763617361921,2233,7533
635,793165685325201412,3121,10239
636,793150605191548928,1921,6729
637,793135492858580992,2788,7034
638,793120401413079041,4382,13832
639,792913359805018113,4508,15645
640,792883833364439040,4793,12325
641,792773781206999040,1882,8005
642,792394556390137856,4812,14696
643,792050063153438720,2018,7820
644,791821351946420224,23603,0
645,791784077045166082,10860,0
646,791780927877898241,4263,0
647,791774931465953280,24953,49171
648,791672322847637504,3517,12801
649,791406955684368384,4618,14309
650,791312159183634433,2852,9572
651,791026214425268224,4628,0
652,790987426131050500,2399,10787
653,790946055508652032,5274,18088
654,790723298204217344,2604,0
655,790698755171364864,2137,8930
656,790581949425475584,8044,22539
